,"parameter","default","ui control type","level","parameter labels","description","auxiliary ui controls",
"ts_combine_conditions","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_combine_conditions","save_flag",0,"edit","basic",,"whether to save the result or pass it to the next function",,
"ts_combine_conditions","datafile","[]","edit","basic",,,"infile",
"ts_combine_conditions","inpath","matfiles","edit",,,"subdirectory within rootindir to search for required data files by default",,
"ts_combine_conditions","outpath","matfiles","edit",,,"subdirectory within rootoutdir to save results by default",,
"ts_combine_conditions","events","[]","edit","basic",,,,
"ts_combine_conditions","combinations","[]","edit","basic",,"Type: help ts_combine_conditions",,
"ts_combine_conditions","neweventcodes","[]","edit","basic",,"Type: help ts_combine_conditions",,
"ts_combine_conditions","calc","weighted","edit","basic",,"Type: help ts_combine_conditions (options: ''weighted'' ''avg'' or ''sum'')",,
,"logfile","[]","edit",,,,,
,"logfid","[]","edit",,,,,
"ts_combine_conditions","reference","events","edit",,,"options: ''events'' or ''conditions''",,
,"verbose",1,"edit",,,"options: {0 or 1}",,
"ts_ezplot","function_id",0,"edit",,,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"EZ Plot"
"ts_ezplot","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_ezplot","datafile","[]","edit","basic",,"file containing data to plot","infile",
"ts_ezplot","dataksip","chan","edit",,,,,
"ts_ezplot","chantype","all","edit","basic",,"{''mag'' ''grad'' ''grad1'' ''grad2'' ''eeg'' ''other'' ''meg'' ''all''}",,
"ts_ezplot","channels","[]","edit","basic",,"vector of channel indices - overrides chantype",,
"ts_ezplot","events","[]","edit","basic",,"event codes to process: format 1: {[e1] [e2]...} plots e1 and e2 separately; [e1 e2] overlays e1 & e2",,
"ts_ezplot","toilim","[]","edit","basic","time limits","limits on the times of interest, [begin end] in seconds",,
"ts_ezplot","foilim","[]","edit","basic","freq limits","limits on the frequencies of interest, [low high] in Hz",,
"ts_ezplot","zlim","maxmin","edit","basic",,"y-axis limits for 2D plots or color limits in 3D images. (maxmin; absmax; or [low high])",,
"ts_ezplot","multiplot",1,"edit",,,,,
"ts_ezplot","topoplot",0,"edit","basic",,"whether or not to generate topoplots (if set to 1 then multiplots will not be generated)",,
"ts_ezplot","toprows",1,"edit","basic",,"this is the number of rows in a sequence of topoplots when topoplot is set to 1",,
"ts_ezplot","topcols",1,"edit","basic",,"this is the number of columns in a sequence of topoplots when topoplot is set to 1",,
"ts_ezplot","trials_flag",0,"edit","basic",,"whether to overlay trials (1) or show averages (0).  (default = 0) (waveforms only)",,
"ts_ezplot","blc",0,"edit","basic","baseline correction","2D plots: whether to baseline correct.  3D plots: whether to translate and/or normalize the data.  (zscore; relative; relchange; absolute).  absolute = subtract mean. relative = divide by mean. relchange = subtract mean then divide by mean. zscore = subtract mean then divide by standard deviation. metrics are calculated with respect to an interval controlled by ''blcwindow''",,
"ts_ezplot","baselinetype","zscore","edit","basic",,"2D plots: whether to baseline correct.  3D plots: whether to translate and/or normalize the data.  (zscore; relative; relchange; absolute).  absolute = subtract mean. relative = divide by mean. relchange = subtract mean then divide by mean. zscore = subtract mean then divide by standard deviation. metrics are calculated with respect to an interval controlled by ''blcwindow''",,
"ts_ezplot","blcwindow","[-inf 0]","edit","basic","baseline window","2D plots: whether to baseline correct.  3D plots: whether to translate and/or normalize the data.  (zscore; relative; relchange; absolute).  absolute = subtract mean. relative = divide by mean. relchange = subtract mean then divide by mean. zscore = subtract mean then divide by standard deviation. metrics are calculated with respect to an interval controlled by ''blcwindow''",,
"ts_ezplot","fontsize",8,"edit",,,"font size for titles",,
"ts_ezplot","axisfontsize",4,"edit",,,"font size for axis labels",,
"ts_ezplot","linewidth",0.5,"edit",,,"width of waveform lines and boxes around subplots",,
"ts_ezplot","linestyle","-","edit",,,"{""-"" ""--"" etc}",,
"ts_ezplot","graphcolor","brgkywrgbkywrgbkywrgbkywbrgkywrgbkywrgbkywrgbkyw","edit",,,"the sequence of colors that will be used when waveforms are overlaid",,
"ts_ezplot","zerolines",0,"edit",,,"whether to draw zerolines",,
"ts_ezplot","axes",1,"edit","basic",,"controls the scale: 0 = no scale; 1 = show scale for one plot; ""all"" = draw a scale for every subplot",,
"ts_ezplot","axis","tight","edit",,,"additional axis controls (tight; square; etc)",,
"ts_ezplot","autoscale",0,"edit","basic",,"whether or not to scale each channel independently (0=no; 1=yes)",,
"ts_ezplot","newfig",1,"edit",,,"whether to use a new figure or hold and add to gcf",,
"ts_ezplot","background","w","edit",,,"the background color used for the figure",,
"ts_ezplot","save",0,"edit","basic",,"whether to save images [0|1]",,
"ts_ezplot","close",0,"edit","basic",,"whether to close figures after plotting (set this to 0 for batch processing)",,
"ts_ezplot","resolution",150,"edit","basic",,"resolution (px) of saved images when save = 1 (type help ""print"" for more info)",,
"ts_ezplot","format","jpg","edit","basic",,"the image format used when save = 1",,
"ts_ezplot","outpath","images","edit","basic",,"directory where images should be saved (it can be specified as a relative or absolute path)","getdir",
"ts_ezplot","overwrite",0,"edit",,,"whether to overwrite files that have the same name",,
"ts_ezplot","alpha",0.05,"edit",,,"significance level used when plotting stats",,
"ts_ezplot","overlay",1,"edit",,,"whether to overlay waveforms (does not apply to color images)",,
"ts_ezplot","footnote","filename","edit",,,"""filename"" - print filename of saved image at the lower right corner of saved images",,
"ts_ezplot","xlim","maxmin","edit",,,"limits on the x-axis [low high]",,
"ts_ezplot","ylim","maxmin","edit",,,"limits on the y-axis [low high]",,
"ts_ezplot","clip","yes","edit","basic",,"whether to clip values outside the subplot range",,
"ts_ezplot","showlabels","yes","edit","basic",,"whether to display channel labels above channel subplots",,
"ts_ezplot","showbadchans","no","edit",,,"whether to plot results for bad channels",,
"ts_ezplot","box","no","edit",,,"whether to draw a box around each subplot",,
"ts_ezplot","stim","yes","edit",,,"whether to draw a vertical line at x = 0",,
"ts_ezplot","colorbar","no","edit",,,"whether to display a colorbar with color images (ex. for time-frequency multiplots or any topoplot)",,
"ts_ezplot","title","[]","edit","basic",,"[string] title at the top of the figure",,
"ts_ezplot","freqcorr",0,"edit",,,"Whether to multiply power by (freq)^alpha where alpha is controlled by ""freqcorr_alpha"" and freq = the frequency at which power is given. This is useful for bringing out high frequency power that drops off at rates that depend on the underlying systems.  Default alpha = 2 (this adjusts for Brownian noise-like power spectra: 1/f amplitude drop-off, power density which decreases 6 dB per octave with increasing frequency (density proportional to 1/f^2)).",,
"ts_ezplot","freqcorr_alpha",2,"edit",,,"The exponent used when freqcorr = 1 and power is multiplied by (freq)^alpha: alpha is controlled by ""freqcorr_alpha"" and freq = the frequency at which power is given. This is useful for bringing out high frequency power that drops off at rates that depend on the underlying systems.  Default alpha = 2 (this adjusts for Brownian noise-like power spectra: 1/f amplitude drop-off, power density which decreases 6 dB per octave with increasing frequency (density proportional to 1/f^2)).",,
"ts_ezplot","statcolor","b","edit",,,,,
"ts_ezplot","statmarker","*","edit",,,,,
"ts_ezplot","transparency",0.1,"edit",,,"Transparency of statistically significant shading",,
"ts_ezplot","colormap","jet","edit",,,"The colormap to use for color images ",,
"ts_ezplot","cond_labels","[]","edit","basic",,"Cell array of strings listing condition labels",,
"ts_ezplot","conditionkey","[]","edit","basic",,"CSV file containing condition labels","infile",
"ts_ezplot","layout","[]","edit","basic",,"Layout file to use for positioning subplots in a multiplot (*.lay; *.asc; ...; or ""ordered"" - grid); default for MEG data is ""orrdered""; default for intracranial data is grid/strip pattern based on grouping electrodes using sensor labels","infile",
"ts_ezplot","statfile","[]","edit","basic",,"file name of MAT file containing stats returned by ts_statistics or ts_statistics_wrapper or ts_timefreq_statistics","infile",
"ts_ezplot","badchanfile","[]","edit","basic",,"txt file listing channel labels to skip","infile",
"ts_ezplot","rejectfile","[]","edit","basic",,"MAT file containing reject_data","infile",
"ts_ezplot","baselinefile","[]","edit",,,"MAT file containing baseline_data","infile",
"ts_ezplot","loop_param","{'events' 'statfile'}","edit",,,,,
"ts_ezplot","padfactor",0.1,"edit","basic",,"controls padding between subplots for intracranial data without a layout file",,
"ts_ezplot","comment","detailed","edit","basic",,"{''auto'' ''xlim'' ''detailed'' ''none''} {default = ''detailed''}",,
"ts_ezplot","vline","[]","edit",,,"vector of times at which to draw vertical lines",,
"ts_ezplot","hline","[]","edit",,,"vector of times at which to draw horizontal lines",,
"ts_ezplot","guimode",0,"edit",,,"whether to save images as they appear on screen",,
"ts_ezplot","ticklength",0.1,"edit",,,"length of tick marks",,
"ts_ezplot","refchan","[]","edit",,,,,
"ts_syncplot","function_id",0,"edit",,,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Sync Plot"
"ts_syncplot","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_syncplot","datafile","[]","edit","basic",,,"infile",
"ts_syncplot","datastring","{'timefreq' 'metric'}","edit",,,,,
"ts_syncplot","dataskip","chan","edit",,,,,
"ts_syncplot","prefix",,"edit","basic",,,,
"ts_syncplot","title","sync","edit","basic",,,,
"ts_syncplot","zparam","plv","edit","basic",,,,
"ts_syncplot","refchannel","all",,,,,,
"ts_syncplot","chantype","all","edit","basic",,,,
"ts_syncplot","channels","[]","edit","basic",,,,
"ts_syncplot","events","[]","edit","basic",,,,
"ts_syncplot","toilim","[]","edit","basic","time limits","limits on the times of interest, [begin end] in seconds",,
"ts_syncplot","foilim","[]","edit","basic","freq limits","limits on the frequencies of interest, [low high] in Hz",,
"ts_syncplot","zlim","maxmin","edit","basic",,"y-axis limits for 2D plots or color limits in 3D images. (maxmin; absmax; or [low high])",,
"ts_syncplot","fontsize",8,"edit",,,,,
"ts_syncplot","axisfontsize",4,"edit",,,,,
"ts_syncplot","linewidth",0.5,"edit",,,,,
"ts_syncplot","linestyle","-","edit",,,,,
"ts_syncplot","strnig",0,"edit",,,,,
"ts_syncplot","axes",1,"edit",,,,,
"ts_syncplot","axis","tight","edit",,,,,
"ts_syncplot","autoscale",0,"edit",,,"whether or not to scale each channel independently (0=no; 1=yes)",,
"ts_syncplot","newfig",1,"edit",,,,,
"ts_syncplot","background","w","edit",,,,,
"ts_syncplot","save",0,"edit","basic",,,,
"ts_syncplot","close",0,"edit","basic",,,,
"ts_syncplot","resolution",150,"edit","basic",,,,
"ts_syncplot","format","jpg","edit","basic",,,,
"ts_syncplot","outpath","images/sync","edit","basic",,,"getdir",
"ts_syncplot","overwrite",0,"edit","basic",,,,
"ts_syncplot","footnote","filename","edit",,,,,
"ts_syncplot","showlabels","yes","edit","basic",,,,
"ts_syncplot","box","no","edit",,,,,
"ts_syncplot","stim","yes","edit",,,,,
"ts_syncplot","colorbar","no","edit",,,,,
"ts_syncplot","title","[]","edit","basic",,,,
"ts_syncplot","colormap","jet","edit",,,,,
"ts_syncplot","cond_labels","[]","edit","basic",,"Cell array of strings listing condition labels",,
"ts_syncplot","conditionkey","[]","edit","basic",,"CSV file containing condition labels","infile",
"ts_syncplot","layout","[]","edit","basic",,,"infile",
"ts_syncplot","loop_param","{'events' 'statfile'}","edit",,,,,
"ts_syncplot","padfactor",0.1,"edit",,,,,
"ts_syncplot","comment","detailed","edit",,,"{''auto'' ''xlim'' ''detailed'' ''none''} {default = ''detailed''}",,
"ts_syncplot","blc",0,"edit","basic","baseline correction","2D plots: whether to baseline correct.  3D plots: whether to translate and/or normalize the data.  (zscore; relative; relchange; absolute).  absolute = subtract mean. relative = divide by mean. relchange = subtract mean then divide by mean. zscore = subtract mean then divide by standard deviation. metrics are calculated with respect to an interval controlled by ''blcwindow''",,
"ts_syncplot","baselinetype","zscore","edit","basic",,"2D plots: whether to baseline correct.  3D plots: whether to translate and/or normalize the data.  (zscore; relative; relchange; absolute).  absolute = subtract mean. relative = divide by mean. relchange = subtract mean then divide by mean. zscore = subtract mean then divide by standard deviation. metrics are calculated with respect to an interval controlled by ''blcwindow''",,
"ts_syncplot","blcwindow","[-inf 0]","edit","basic","baseline window","2D plots: whether to baseline correct.  3D plots: whether to translate and/or normalize the data.  (zscore; relative; relchange; absolute).  absolute = subtract mean. relative = divide by mean. relchange = subtract mean then divide by mean. zscore = subtract mean then divide by standard deviation. metrics are calculated with respect to an interval controlled by ''blcwindow''",,
"ts_timefreq_average","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Time-freq averaging"
"ts_timefreq_average","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_timefreq_average","save_flag",1,"edit","basic",,,,
"ts_timefreq_average","cluster_flag",0,"edit","basic",,"Whether to submit job to cluster",,
"ts_timefreq_average","datafile","[]","edit","basic",,,"infile",
"ts_timefreq_average","inpath","matfiles/timefreq","edit",,,"subdirectory within rootindir to search for required data files by default",,
"ts_timefreq_average","outpath","matfiles/timefreq","edit",,,"subdirectory within rootoutdir to save results by default",,
"ts_timefreq_average","prefix",,"edit",,,,,
"ts_timefreq_average","loop_param","freqband","edit",,,,,
"ts_timefreq_average","freqband","all","edit","basic",,,,
"ts_timefreq_average","events","[]","edit","basic",,,,
"ts_timefreq_average","conditions","[]","edit",,,,,
"ts_timefreq_average","chantype","all","edit","basic",,"{''mag'' ''grad'' ''grad1'' ''grad2'' ''eeg'' ''other'' ''meg'' ''all''}",,
"ts_timefreq_average","channel","[]","edit","basic",,,,
"ts_timefreq_average","findex","[]","edit","basic","freq indices","index into the frequency vector indicating which frequencies to average",,
"ts_timefreq_average","blc",0,"edit","basic","baseline correction",,,
"ts_timefreq_average","baselinetype","zscore","edit","basic",,"{''zscore'' ''relative'' ''relchange'' ''absolute''}",,
"ts_timefreq_average","blcwindow","[-inf 0]","edit","basic","baseline window",,,
"ts_timefreq_average","baseline_data","[]","edit",,,,,
"ts_timefreq_average","baselinefile","[]","edit","basic",,,"infile",
"ts_timefreq_average","verbose",1,"edit",,,,,
"ts_timefreq_average","freqcorr",0,"edit","basic","freq correction",,,
"ts_timefreq_average","toilim","[]","edit","basic","time limits",,,
"ts_timefreq_average","rejectfile","[]","edit","basic",,,"infile",
"ts_timefreq_average","reject_data","[]","edit",,,,,
"ts_timefreq_makebaseline","function_id",,"edit","basic",,"Numeric identifier used to reference this function''s results as an input to a subsequent function",,"Time-freq baseline"
"ts_timefreq_makebaseline","input_id",,"edit","basic",,"The numeric identifier of an earlier function whose results are this function''s input",,
"ts_timefreq_makebaseline","save_flag",1,"edit","basic",,,,
"ts_timefreq_makebaseline","cluster_flag",0,"edit","basic",,"Whether to submit job to cluster",,
"ts_timefreq_makebaseline","datafile","[]","edit","basic",,,"infile",
"ts_timefreq_makebaseline","inpath","matfiles/timefreq","edit",,,"subdirectory within rootindir to search for required data files by default",,
"ts_timefreq_makebaseline","outpath","matfiles/timefreq","edit",,,"subdirectory within rootoutdir to save results by default",,
"ts_timefreq_makebaseline","prefix",,"edit",,,,,
"ts_timefreq_makebaseline","loop_param",,"edit",,,,,
"ts_timefreq_makebaseline","events","[]","edit","basic",,,,
"ts_timefreq_makebaseline","conditions","[]","edit",,,,,
"ts_timefreq_makebaseline","chantype","all","edit","basic",,"{''mag'' ''grad'' ''grad1'' ''grad2'' ''eeg'' ''other'' ''meg'' ''all''}",,
"ts_timefreq_makebaseline","channel","[]","edit","basic",,,,
"ts_timefreq_makebaseline","verbose",1,"edit",,,,,
"ts_timefreq_makebaseline","freqcorr",0,"edit","basic",,,,
"ts_timefreq_makebaseline","toilim","[]","edit","basic","baseline window",,,
"ts_timefreq_makebaseline","rejectfile","[]","edit","basic",,,"infile",
"ts_timefreq_makebaseline","reject_data","[]","edit",,,,,
"ts_timefreq_makebaseline","keeptrials","no","edit","basic",,,,
